date,hr_of_day,vals
5/1/2014,0,72
5/1/2014,1,127
5/1/2014,2,277
5/1/2014,3,411
5/1/2014,4,666
5/1/2014,5,912
5/1/2014,6,1164
5/1/2014,7,1119
5/1/2014,8,951
5/1/2014,9,929
5/1/2014,10,942
5/1/2014,11,968
5/1/2014,12,856
5/1/2014,13,835
5/1/2014,14,885
5/1/2014,15,945
5/1/2014,16,924
5/1/2014,17,914
5/1/2014,18,744
5/1/2014,19,377
5/1/2014,20,219
5/1/2014,21,106
5/1/2014,22,56
5/1/2014,23,43
5/2/2014,0,61
5/2/2014,1,136
5/2/2014,2,272
5/2/2014,3,385
5/2/2014,4,590
5/2/2014,5,869
5/2/2014,6,1019
5/2/2014,7,961
5/2/2014,8,931
5/2/2014,9,980
5/2/2014,10,1055
5/2/2014,11,1007
5/2/2014,12,896
5/2/2014,13,839
5/2/2014,14,827
5/2/2014,15,832
5/2/2014,16,846
5/2/2014,17,820
5/2/2014,18,675
5/2/2014,19,433
5/2/2014,20,242
5/2/2014,21,112
5/2/2014,22,80
5/2/2014,23,43
5/3/2014,0,49
5/3/2014,1,158
5/3/2014,2,243
5/3/2014,3,395
5/3/2014,4,612
5/3/2014,5,860
5/3/2014,6,979
5/3/2014,7,1027
5/3/2014,8,945
5/3/2014,9,1023
5/3/2014,10,996
5/3/2014,11,912
5/3/2014,12,672
5/3/2014,13,615
5/3/2014,14,633
5/3/2014,15,580
5/3/2014,16,614
5/3/2014,17,552
5/3/2014,18,465
5/3/2014,19,315
5/3/2014,20,181
5/3/2014,21,78
5/3/2014,22,51
5/3/2014,23,30
5/4/2014,0,48
5/4/2014,1,106
5/4/2014,2,251
5/4/2014,3,372
5/4/2014,4,564
5/4/2014,5,800
5/4/2014,6,985
5/4/2014,7,997
5/4/2014,8,918
5/4/2014,9,849
5/4/2014,10,769
5/4/2014,11,851
5/4/2014,12,850
5/4/2014,13,840
5/4/2014,14,916
5/4/2014,15,917
5/4/2014,16,862
5/4/2014,17,921
5/4/2014,18,660
5/4/2014,19,408
5/4/2014,20,216
5/4/2014,21,114
5/4/2014,22,49
5/4/2014,23,45
5/5/2014,0,53
5/5/2014,1,137
5/5/2014,2,254
5/5/2014,3,408
5/5/2014,4,638
5/5/2014,5,792
5/5/2014,6,1101
5/5/2014,7,973
5/5/2014,8,964
5/5/2014,9,1062
5/5/2014,10,880
5/5/2014,11,1009
5/5/2014,12,794
5/5/2014,13,868
5/5/2014,14,837
5/5/2014,15,966
5/5/2014,16,1017
5/5/2014,17,1041
5/5/2014,18,766
5/5/2014,19,405
5/5/2014,20,196
5/5/2014,21,97
5/5/2014,22,60
5/5/2014,23,56
5/6/2014,0,66
5/6/2014,1,161
5/6/2014,2,320
5/6/2014,3,451
5/6/2014,4,712
5/6/2014,5,940
5/6/2014,6,1048
5/6/2014,7,1115
5/6/2014,8,1022
5/6/2014,9,1051
5/6/2014,10,1065
5/6/2014,11,1006
5/6/2014,12,1041
5/6/2014,13,956
5/6/2014,14,929
5/6/2014,15,996
5/6/2014,16,996
5/6/2014,17,1033
5/6/2014,18,774
5/6/2014,19,484
5/6/2014,20,243
5/6/2014,21,108
5/6/2014,22,69
5/6/2014,23,46
5/7/2014,0,71
5/7/2014,1,170
5/7/2014,2,263
5/7/2014,3,421
5/7/2014,4,643
5/7/2014,5,889
5/7/2014,6,1082
5/7/2014,7,1045
5/7/2014,8,829
5/7/2014,9,1032
5/7/2014,10,1190
5/7/2014,11,1087
5/7/2014,12,1042
5/7/2014,13,917
5/7/2014,14,973
5/7/2014,15,928
5/7/2014,16,917
5/7/2014,17,968
5/7/2014,18,814
5/7/2014,19,397
5/7/2014,20,225
5/7/2014,21,116
